intergovernmental-affairs,Intergovernmental Affairs Secretariat,Le Secrétariat des affaires intergouvernementales,,,,,TPEC
labour-program,Labour Program,Programme du travail,,,,,CTC
library-archives,Library and Archives of Canada,Bibliothèque et Archives du Canada,,,,,CGC
military-grievances-external-review,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,,,,,
military-police-complaints,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire,,,,,CLMHC
national-battlefields-commission,National Battlefields Commission,Canadian Intellectual Property Office,,,,,TDPC
national-defence-canadian-armed-forces-ombudsman,National Defence and Canadian Armed Forces Ombudsman,Ombudsman de la Défense nationale et des Forces armées canadiennes,,,,,RQPIC
national-energy-board,Canada Energy Regulator,Régie de l’énergie du Canada,,,,,MC
national-film-board,National Film Board,Office national du film,,,,,CIMM
national-research-council,National Research Council Canada,Conseil national de recherches Canada,,,,,CCNTA
national-seniors-council,National Seniors Council,Conseil national des aînés,,,,,CNB
natural-resources-canada,Department of Natural Resources,Ministère des Ressources naturelles,,,,,TSSTC
occupational-health-safety-tribunal,Occupational Health and Safety Tribunal Canada,Tribunal de santé et sécurité au travail Canada,,,,,BCSC
office-infrastructure,Office of Infrastructure of Canada,Bureau de l'infrastructure du Canada,,,,,BSF
office-of-the-chief-military-judge,Office Of The Chief Military Judge,Le Cabinet du juge militaire en chef,,,,,PPTC
office-of-the-correctional-investigator-of-canada,Office of the Correctional Investigator,Bureau de l'enquêteur correctionnel,,,,,HPC
office-of-the-intelligence-commissioner,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,,,,,ARAP
ombudsperson-national-defence-forces,Ombudsman for the Department of National Defence and the Canadian Armed Forces (Office of the),Ombudsman de la Défense nationale et des Forces armées canadiennes,,,,,TPFDC
parks-canada,Parks Canada Agency,Agence Parcs Canada,,,,,CRTEFP
parole-board,Parole Board of Canada,Commission des libérations conditionnelles du Canada,,,,,TRP
patented-medicine-prices-review-board,Patented Medicine Prices Review Board,Conseil d'examen du prix des médicaments brevetés,,,,,ServCan
polar-knowledge,Polar Knowledge Canada,Savoir polaire Canada,,,,,
ppp-canada,Ppp Canada,Ppp Canada,,,,,TSS
privy-council,Privy Council Office,Bureau du Conseil privé,,,,,CRL
procurement-ombudsman,Office of the Procurement Ombudsman,Bureau de l'ombudsman de l'approvisionnement,,,,,TATC
public-health-agency-of-canada,Public Health Agency of Canada,Agence de la santé publique du Canada,,,,,
public-prosecution,Public Prosecution Service of Canada (PPSC),Service des poursuites pénales du Canada (SPPC),,,,,
public-safety-canada,Public Safety Canada,Sécurité publique Canada,,,,,
public-service-commission,Public Service Commission,Commission de la fonction publique,,,,,
rcmp-external-review-committee,Royal Canadian Mounted Police External Review Committee,Comité externe d’examen de la Gendarmerie royale du Canada,,,,,
research-chairs,Canada Research Chairs,Chaires de recherche du Canada,,,,,
revenue-agency,Canada Revenue Agency,Agence du revenu du Canada,,,,,
royal-air-force,Royal Canadian Air Force,Aviation royale canadienne,,,,,
royal-mounted-police,Royal Canadian Mounted Police,Gendarmerie royale du Canada,,,,,
royal-navy,Royal Canadian Navy,Marine royale canadienne,,,,,
school-public-service,Canada School of Public Service,École de la fonction publique du Canada,,,,,
sciences-engineering-research,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie,,,,,
security-intelligence-review-committee,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,,,,,
Service Canada,Service Canada,Service Canada,,,,,
service-canada,Service Canada,Service Canada,,,,,
shared-services,Shared Services Canada,Services partagés Canada,,,,,
social-sciences-humanities-research,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines,,,,,
social-security-tribunal,Social Security Tribunal of Canada,Tribunal de la sécurité sociale du Canada,,,,,
space-agency,Canadian Space Agency,Agence spatiale canadienne,,,,,
statistics-canada,Statistics Canada,Statistique Canada,,,,,
status-women,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,,,,,
taxpayers-ombudsman,Office of the Taxpayers' Ombudsman,Bureau de l'ombudsman des contribuables,,,,,
transportation-agency,Canadian Transportation Agency,Office des transports du Canada,,,,,
treasury-board-secretariat,Secrétariat du Conseil du Trésor,Treasury Board of Canada Secretariat,,,,,
veterans-affairs-canada,Department of Veterans Affairs,Ministère des Anciens Combattants,,,,,
veterans-review-appeal-board,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),,,,,
western-economic-diversification,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,,,,,
youth,Youth,Jeunesse,,,,,
